Date,Time,Gender,Device,Activity
7/17/14,12:09 AM,female,desktop,0
7/17/14,12:12 AM,male,desktop,0
7/17/14,12:15 AM,female,desktop,1
7/17/14,12:18 AM,female,desktop,0
7/17/14,12:20 AM,female,mobile,1
7/17/14,12:22 AM,female,desktop,0
7/17/14,12:23 AM,male,tablet,1
7/17/14,12:24 AM,female,tablet,0
7/17/14,12:36 AM,female,mobile,0
7/17/14,12:43 AM,male,mobile,1
7/17/14,12:44 AM,female,tablet,1
7/17/14,12:45 AM,female,mobile,0
7/17/14,12:45 AM,female,tablet,1
7/17/14,12:47 AM,female,mobile,1
7/17/14,12:54 AM,male,mobile,1
7/17/14,12:55 AM,male,desktop,0
7/17/14,12:56 AM,female,tablet,0
7/17/14,1:07 AM,female,mobile,1
7/17/14,1:12 AM,male,mobile,1
7/17/14,1:15 AM,female,tablet,0
7/17/14,1:16 AM,female,tablet,1
7/17/14,1:30 AM,female,mobile,0
7/17/14,1:30 AM,female,desktop,1
7/17/14,1:30 AM,male,desktop,0
7/17/14,1:38 AM,female,desktop,0
7/17/14,1:45 AM,male,tablet,0
7/17/14,1:46 AM,male,tablet,0
7/17/14,1:51 AM,male,tablet,0
7/17/14,1:52 AM,male,mobile,0
7/17/14,1:57 AM,male,tablet,1
7/17/14,2:00 AM,female,desktop,1
7/17/14,2:14 AM,male,mobile,0
7/17/14,2:23 AM,female,mobile,0
7/17/14,2:25 AM,female,mobile,1
7/17/14,2:42 AM,male,desktop,0
7/17/14,2:44 AM,female,mobile,1
7/17/14,3:00 AM,female,desktop,1
7/17/14,3:01 AM,male,mobile,1
7/17/14,3:03 AM,male,tablet,0
7/17/14,3:09 AM,female,mobile,1
7/17/14,3:14 AM,male,mobile,1
7/17/14,3:36 AM,female,tablet,1
7/17/14,3:40 AM,female,desktop,0
7/17/14,3:52 AM,female,mobile,0
7/17/14,3:59 AM,male,mobile,1
7/17/14,4:00 AM,male,tablet,1
7/17/14,4:00 AM,male,desktop,1
7/17/14,4:01 AM,female,mobile,0
7/17/14,4:07 AM,female,tablet,0
7/17/14,4:13 AM,female,tablet,1
7/17/14,4:19 AM,female,desktop,0
7/17/14,4:25 AM,female,desktop,1
7/17/14,4:28 AM,female,mobile,0
7/17/14,4:36 AM,female,mobile,1
7/17/14,4:39 AM,male,mobile,1
7/17/14,4:43 AM,female,desktop,0
7/17/14,4:46 AM,female,tablet,0
7/17/14,4:47 AM,male,mobile,1
7/17/14,4:59 AM,female,tablet,0
7/17/14,5:05 AM,female,desktop,0
7/17/14,5:14 AM,female,tablet,1
7/17/14,5:15 AM,female,mobile,1
7/17/14,5:21 AM,female,desktop,1
7/17/14,5:24 AM,male,desktop,1
7/17/14,5:42 AM,female,desktop,1
7/17/14,5:48 AM,female,desktop,0
7/17/14,5:51 AM,male,mobile,1
7/17/14,5:52 AM,female,tablet,1
7/17/14,5:55 AM,female,mobile,1
7/17/14,5:57 AM,male,desktop,0
7/17/14,5:58 AM,female,desktop,1
7/17/14,5:59 AM,male,desktop,0
7/17/14,6:01 AM,female,desktop,0
7/17/14,6:05 AM,male,desktop,0
7/17/14,6:06 AM,female,mobile,0
7/17/14,6:11 AM,male,tablet,1
7/17/14,6:25 AM,male,tablet,0
7/17/14,6:32 AM,female,desktop,1
7/17/14,6:40 AM,male,mobile,1
7/17/14,6:52 AM,male,tablet,1
7/17/14,6:54 AM,female,tablet,1
7/17/14,7:00 AM,female,desktop,0
7/17/14,7:00 AM,male,desktop,0
7/17/14,7:01 AM,male,tablet,1
7/17/14,7:04 AM,female,desktop,1
7/17/14,7:04 AM,female,tablet,0
7/17/14,7:15 AM,female,tablet,0
7/17/14,7:19 AM,male,tablet,0
7/17/14,7:23 AM,female,mobile,1
7/17/14,7:30 AM,female,desktop,0
7/17/14,7:37 AM,female,mobile,1
7/17/14,7:38 AM,female,tablet,0
7/17/14,7:39 AM,male,tablet,1
7/17/14,7:43 AM,female,desktop,1
7/17/14,7:47 AM,female,mobile,0
7/17/14,7:50 AM,female,mobile,0
7/17/14,8:00 AM,male,tablet,1
7/17/14,8:00 AM,female,desktop,1
7/17/14,8:08 AM,male,desktop,1
7/17/14,8:11 AM,female,desktop,0
7/17/14,8:19 AM,male,mobile,1
7/17/14,8:19 AM,male,mobile,1
7/17/14,8:34 AM,male,mobile,0
7/17/14,8:47 AM,female,desktop,0
7/17/14,8:49 AM,female,desktop,0
7/17/14,8:54 AM,male,tablet,0
7/17/14,8:59 AM,female,tablet,1
7/17/14,9:07 AM,male,tablet,0
7/17/14,9:15 AM,male,tablet,1
7/17/14,9:41 AM,male,desktop,0
7/17/14,9:41 AM,male,desktop,0
